genotype,bio_rep,tech_rep,gene_id,treatment,ct
col0,1,1,U6,IP,18.33
col0,1,2,U6,IP,18.37
col0,1,3,U6,IP,18.96
col0,1,4,U6,IP,18.63
fio1-1,1,1,U6,IP,21.69
fio1-1,1,2,U6,IP,22.33
fio1-1,1,3,U6,IP,21.64
fio1-1,1,4,U6,IP,22.11
fio1-3,1,1,U6,IP,21.71
fio1-3,1,2,U6,IP,21.33
fio1-3,1,3,U6,IP,21.79
fio1-3,1,4,U6,IP,21.26
fio1-4,1,1,U6,IP,23.08
fio1-4,1,2,U6,IP,22.67
fio1-4,1,3,U6,IP,22.41
fio1-4,1,4,U6,IP,22.46
col0,1,1,U6,IgG,27.31
col0,1,2,U6,IgG,27.64
col0,1,3,U6,IgG,26.99
col0,1,4,U6,IgG,26.89
fio1-1,1,1,U6,IgG,25.28
fio1-1,1,2,U6,IgG,25.46
fio1-1,1,3,U6,IgG,25.48
fio1-1,1,4,U6,IgG,25.12
fio1-3,1,1,U6,IgG,25.65
fio1-3,1,2,U6,IgG,25.93
fio1-3,1,3,U6,IgG,24.79
fio1-3,1,4,U6,IgG,25.1
fio1-4,1,1,U6,IgG,24.89
fio1-4,1,2,U6,IgG,25.72
fio1-4,1,3,U6,IgG,24.55
fio1-4,1,4,U6,IgG,25.24
col0,1,1,U6,input,22.26
col0,1,2,U6,input,22.9
col0,1,3,U6,input,21.49
col0,1,4,U6,input,22.11
fio1-1,1,1,U6,input,17.13
fio1-1,1,2,U6,input,17.59
fio1-1,1,3,U6,input,16.44
fio1-1,1,4,U6,input,16.74
fio1-3,1,1,U6,input,19.02
fio1-3,1,2,U6,input,19.51
fio1-3,1,3,U6,input,19.08
fio1-3,1,4,U6,input,19.37
fio1-4,1,1,U6,input,17.98
fio1-4,1,2,U6,input,18.45
fio1-4,1,3,U6,input,17.32
fio1-4,1,4,U6,input,17.71
col0,1,1,U2,IP,31.71
col0,1,2,U2,IP,31.74
col0,1,3,U2,IP,31.64
col0,1,4,U2,IP,32.03
fio1-1,1,1,U2,IP,31.95
fio1-1,1,2,U2,IP,33.02
fio1-1,1,3,U2,IP,32.47
fio1-1,1,4,U2,IP,31.62
fio1-3,1,1,U2,IP,32.94
fio1-3,1,2,U2,IP,32.72
fio1-3,1,3,U2,IP,32.79
fio1-3,1,4,U2,IP,29.03
fio1-4,1,1,U2,IP,32.11
fio1-4,1,2,U2,IP,35.49
fio1-4,1,3,U2,IP,32.43
fio1-4,1,4,U2,IP,33.3
col0,1,1,U2,IgG,37.02
col0,1,2,U2,IgG,39.96
col0,1,3,U2,IgG,37.74
col0,1,4,U2,IgG,35.18
fio1-1,1,1,U2,IgG,36.99
fio1-1,1,2,U2,IgG,38.5
fio1-1,1,3,U2,IgG,35.24
fio1-1,1,4,U2,IgG,34.48
fio1-3,1,1,U2,IgG,32.81
fio1-3,1,2,U2,IgG,38.92
fio1-3,1,3,U2,IgG,
fio1-3,1,4,U2,IgG,39.72
fio1-4,1,1,U2,IgG,36.3
fio1-4,1,2,U2,IgG,36.14
fio1-4,1,3,U2,IgG,36.35
fio1-4,1,4,U2,IgG,28.2
col0,1,1,U2,input,33.29
col0,1,2,U2,input,33.03
col0,1,3,U2,input,31.49
col0,1,4,U2,input,32.12
fio1-1,1,1,U2,input,31.17
fio1-1,1,2,U2,input,32.01
fio1-1,1,3,U2,input,30.6
fio1-1,1,4,U2,input,31.26
fio1-3,1,1,U2,input,33.62
fio1-3,1,2,U2,input,32.71
fio1-3,1,3,U2,input,32.27
fio1-3,1,4,U2,input,33.4
fio1-4,1,1,U2,input,31.66
fio1-4,1,2,U2,input,31.98
fio1-4,1,3,U2,input,31.54
fio1-4,1,4,U2,input,31.17
col0,2,1,U6,IP,20.23
col0,2,2,U6,IP,20.17
col0,2,3,U6,IP,20.45
col0,2,4,U6,IP,19.95
fio1-1,2,1,U6,IP,27.56
fio1-1,2,2,U6,IP,27.36
fio1-1,2,3,U6,IP,27.55
fio1-1,2,4,U6,IP,27.09
fio1-3,2,1,U6,IP,26.23
fio1-3,2,2,U6,IP,25.58
fio1-3,2,3,U6,IP,26.05
fio1-3,2,4,U6,IP,25.72
fio1-4,2,1,U6,IP,25.05
fio1-4,2,2,U6,IP,24.94
fio1-4,2,3,U6,IP,26.64
fio1-4,2,4,U6,IP,26.5
col0,2,1,U6,IgG,27.24
col0,2,2,U6,IgG,27.36
col0,2,3,U6,IgG,27.21
col0,2,4,U6,IgG,27.7
fio1-1,2,1,U6,IgG,21.58
fio1-1,2,2,U6,IgG,21.46
fio1-1,2,3,U6,IgG,22
fio1-1,2,4,U6,IgG,21.71
fio1-3,2,1,U6,IgG,33.29
fio1-3,2,2,U6,IgG,33.03
fio1-3,2,3,U6,IgG,31.49
fio1-3,2,4,U6,IgG,32.12
fio1-4,2,1,U6,IgG,28.07
fio1-4,2,2,U6,IgG,28.13
fio1-4,2,3,U6,IgG,27.84
fio1-4,2,4,U6,IgG,27.75
col0,2,1,U6,input,23.21
col0,2,2,U6,input,23.66
col0,2,3,U6,input,22.74
col0,2,4,U6,input,23.26
fio1-1,2,1,U6,input,16.96
fio1-1,2,2,U6,input,17.07
fio1-1,2,3,U6,input,17.35
fio1-1,2,4,U6,input,17.83
fio1-3,2,1,U6,input,19.46
fio1-3,2,2,U6,input,19.88
fio1-3,2,3,U6,input,19.17
fio1-3,2,4,U6,input,19.5
fio1-4,2,1,U6,input,21.49
fio1-4,2,2,U6,input,22.13
fio1-4,2,3,U6,input,22.43
fio1-4,2,4,U6,input,23.13
col0,2,1,U2,IP,
col0,2,2,U2,IP,
col0,2,3,U2,IP,40.07
col0,2,4,U2,IP,
fio1-1,2,1,U2,IP,
fio1-1,2,2,U2,IP,
fio1-1,2,3,U2,IP,38.64
fio1-1,2,4,U2,IP,
fio1-3,2,1,U2,IP,
fio1-3,2,2,U2,IP,
fio1-3,2,3,U2,IP,32.66
fio1-3,2,4,U2,IP,
fio1-4,2,1,U2,IP,
fio1-4,2,2,U2,IP,
fio1-4,2,3,U2,IP,34.01
fio1-4,2,4,U2,IP,
col0,2,1,U2,IgG,39.73
col0,2,2,U2,IgG,
col0,2,3,U2,IgG,33.51
col0,2,4,U2,IgG,37.44
fio1-1,2,1,U2,IgG,38.51
fio1-1,2,2,U2,IgG,40.28
fio1-1,2,3,U2,IgG,38.83
fio1-1,2,4,U2,IgG,39.67
fio1-3,2,1,U2,IgG,33.26
fio1-3,2,2,U2,IgG,38.75
fio1-3,2,3,U2,IgG,40.6
fio1-3,2,4,U2,IgG,34.38
fio1-4,2,1,U2,IgG,40.43
fio1-4,2,2,U2,IgG,32.27
fio1-4,2,3,U2,IgG,37.64
fio1-4,2,4,U2,IgG,38.47
col0,2,1,U2,input,33.66
col0,2,2,U2,input,35.05
col0,2,3,U2,input,38.19
col0,2,4,U2,input,39.68
fio1-1,2,1,U2,input,33.84
fio1-1,2,2,U2,input,38.73
fio1-1,2,3,U2,input,33.9
fio1-1,2,4,U2,input,35.62
fio1-3,2,1,U2,input,32.35
fio1-3,2,2,U2,input,
fio1-3,2,3,U2,input,29.56
fio1-3,2,4,U2,input,
fio1-4,2,1,U2,input,35.59
fio1-4,2,2,U2,input,
fio1-4,2,3,U2,input,
fio1-4,2,4,U2,input,